timestamp,device_id,unit_id,function_code,address,raw_value,data_type,byte_order,scale,offset,unit,quality
2026-09-08T15:51:52.470Z,2328-01,1,3,40001,1454,float32,ABCD,1,0,r/min,good
2026-09-08T15:51:52.470Z,2328-01,1,3,40003,47.4,float32,ABCD,1,0,°C,good
2026-09-08T15:51:52.470Z,2328-01,1,3,40005,1.91,float32,ABCD,1,0,mm/s,good
2026-09-08T15:51:52.470Z,2328-01,1,3,40007,0.503,float32,ABCD,1,0,MPa,good
2026-09-08T15:51:52.470Z,2328-01,1,3,40009,87.13,float32,ABCD,1,0,m³/h,good
2026-09-08T15:51:52.470Z,2328-01,1,3,40011,34.43,float32,ABCD,1,0,kW,good
2026-09-08T15:52:52.470Z,2328-01,1,3,40001,1456.3,float32,ABCD,1,0,r/min,good
2026-09-08T15:52:52.470Z,2328-01,1,3,40003,47.6,float32,ABCD,1,0,°C,good
2026-09-08T15:52:52.470Z,2328-01,1,3,40005,1.89,float32,ABCD,1,0,mm/s,good
2026-09-08T15:52:52.470Z,2328-01,1,3,40007,0.499,float32,ABCD,1,0,MPa,good
2026-09-08T15:52:52.470Z,2328-01,1,3,40009,86.53,float32,ABCD,1,0,m³/h,good
2026-09-08T15:52:52.470Z,2328-01,1,3,40011,34.2,float32,ABCD,1,0,kW,good
2026-09-08T15:53:52.470Z,2328-01,1,3,40001,1458.4,float32,ABCD,1,0,r/min,good
2026-09-08T15:53:52.470Z,2328-01,1,3,40003,47.7,float32,ABCD,1,0,°C,good
2026-09-08T15:53:52.470Z,2328-01,1,3,40005,1.88,float32,ABCD,1,0,mm/s,good
2026-09-08T15:53:52.470Z,2328-01,1,3,40007,0.496,float32,ABCD,1,0,MPa,good
2026-09-08T15:53:52.470Z,2328-01,1,3,40009,85.96,float32,ABCD,1,0,m³/h,good
2026-09-08T15:53:52.470Z,2328-01,1,3,40011,33.98,float32,ABCD,1,0,kW,good
2026-09-08T15:54:52.470Z,2328-01,1,3,40001,1460.2,float32,ABCD,1,0,r/min,good
2026-09-08T15:54:52.470Z,2328-01,1,3,40003,47.8,float32,ABCD,1,0,°C,good
2026-09-08T15:54:52.470Z,2328-01,1,3,40005,1.86,float32,ABCD,1,0,mm/s,good
2026-09-08T15:54:52.470Z,2328-01,1,3,40007,0.493,float32,ABCD,1,0,MPa,good
2026-09-08T15:54:52.470Z,2328-01,1,3,40009,85.41,float32,ABCD,1,0,m³/h,good
2026-09-08T15:54:52.470Z,2328-01,1,3,40011,33.75,float32,ABCD,1,0,kW,good
2026-09-08T15:55:52.470Z,2328-01,1,3,40001,1461.8,float32,ABCD,1,0,r/min,good
2026-09-08T15:55:52.470Z,2328-01,1,3,40003,47.8,float32,ABCD,1,0,°C,good
2026-09-08T15:55:52.470Z,2328-01,1,3,40005,1.84,float32,ABCD,1,0,mm/s,good
2026-09-08T15:55:52.470Z,2328-01,1,3,40007,0.489,float32,ABCD,1,0,MPa,good
2026-09-08T15:55:52.470Z,2328-01,1,3,40009,84.86,float32,ABCD,1,0,m³/h,good
2026-09-08T15:55:52.470Z,2328-01,1,3,40011,33.54,float32,ABCD,1,0,kW,good
2026-09-08T15:56:52.470Z,2328-01,1,3,40001,1463.2,float32,ABCD,1,0,r/min,good
2026-09-08T15:56:52.470Z,2328-01,1,3,40003,47.9,float32,ABCD,1,0,°C,good
2026-09-08T15:56:52.470Z,2328-01,1,3,40005,1.82,float32,ABCD,1,0,mm/s,good
2026-09-08T15:56:52.470Z,2328-01,1,3,40007,0.486,float32,ABCD,1,0,MPa,good
2026-09-08T15:56:52.470Z,2328-01,1,3,40009,84.31,float32,ABCD,1,0,m³/h,good
2026-09-08T15:56:52.470Z,2328-01,1,3,40011,33.32,float32,ABCD,1,0,kW,good
2026-09-08T15:57:52.470Z,2328-01,1,3,40001,1464.3,float32,ABCD,1,0,r/min,good
2026-09-08T15:57:52.470Z,2328-01,1,3,40003,47.8,float32,ABCD,1,0,°C,good
2026-09-08T15:57:52.470Z,2328-01,1,3,40005,1.79,float32,ABCD,1,0,mm/s,good
2026-09-08T15:57:52.470Z,2328-01,1,3,40007,0.483,float32,ABCD,1,0,MPa,good
2026-09-08T15:57:52.470Z,2328-01,1,3,40009,83.76,float32,ABCD,1,0,m³/h,good
2026-09-08T15:57:52.470Z,2328-01,1,3,40011,33.11,float32,ABCD,1,0,kW,good
